image_name,caption
89-11.jpg,a statue of politician stands in front of the cityscape
6-3.jpg,an orange tabby cat looking at the camera with a blurred background
30-9.jpg,a woman standing on a tennis court with a tennis ball
88-2.jpg,a man standing in front of a painting of a mountain
32-7.jpg,an overhead view of a shopping mall with a large chandelier
6-6.jpg,a white cat laying on a red blanket
78-10.jpg,a man pulling a tractor in a flooded field
34-8.jpg,a crowd of people taking photos of a dragon dance performance
21-0.jpg,a bunch of cauliflower sitting in the leaves
63-6.jpg,a bag of red fruit hanging from a tree
56-9.jpg,a bowl of soup with meatballs and vegetables on a table
8-4.jpg,a dog with its mouth open and its teeth
40-8.jpg,a wok filled with rice and vegetables on a table
83-7.jpg,an empty classroom with desks and a whiteboard
65-0.jpg,a man is stacking bunches of green bananas
56-13.jpg,a food cart with a red scissors on top
66-3.jpg,a tree filled with leaves and fruit on a cloudy day
78-9.jpg,a green tractor is parked in a field
80-6.jpg,a woman and a child in a field of paddy fields
64-11.jpg,a monkey eating raspberries in a tree
86-7.jpg,a man sitting on the side of a blue bus filled with books
41-3.jpg,a bowl sitting next to a stone wall
95-2.jpg,a group of people posing for a picture with a dragon dance performance
1-3.jpg,three small birds sitting on a table
53-1.jpg,a bowl of soup and rice and a drink on a table
92-1.jpg,a group of men praying on a mosque carpet
80-1.jpg,a shovel in the grass next to a pair of shoes
73-3.jpg,two tall buildings with palm trees in front of a city street
4-1.jpg,an image of a peacock with a blue head and red neck
55-2.jpg,a bunch of skewers of meat on sticks on a table
81-2.jpg,a man plowing a field with two water buffalo
17-7.jpg,a close up of two pink flowers on a branch
92-2.jpg,a mosque with a blue sky in the background
46-6.jpg,a model walks the runway in a blue gown
32-2.jpg,a large crowd of people sitting on the ground in the street
11-11.jpg,a cow with a calf in a pen
28-5.jpg,a hand holding a racket and a ping pong ball
42-1.jpg,a table full of t shirts on display in a store
34-1.jpg,a group of people in dragon costumes walking down a street
43-2.jpg,a man in a yellow shirt and tie sitting at a table
90-1.jpg,a man sitting in front of stacks of plates and drums
22-1.jpg,a large green plant with green leaves in a garden
3-10.jpg,four blue and yellow parrots sitting in a cage
37-2.jpg,a potato on top of a fork
37-0.jpg,a set of silver forks on a table
70-3.jpg,a kitchen with a stove and pots and pans
27-3.jpg,a man jumping in the air to catch a basketball
67-3.jpg,a man holding a bunch of grapes in a tree
4-9.jpg,a large blue and yellow bird with a blue and yellow beak
79-2.jpg,a woman working in a field with a hoe
20-2.jpg,a close up of a head of cabbage in a field
