image_name,caption
84-9.jpg,a close up of the tip of a pen and someeezers
39-15.jpg,a cutting board with onions carrots and a knife on it
25-18.jpg,a plate of food with cauliflower on a table
21-10.jpg,a close up of an orange flower in the grass
32-2.jpg,a group of dancers in colorful costumes throwing red confetti
78-7.jpg,a man on a tractor in a field
92-4.jpg,a group of women in yellow uniforms standing in a line
71-11.jpg,a man and a woman sitting at a kitchen counter
83-2.jpg,a bunch of mathematical equations on a chalk board
45-5.jpg,a woman wearing sunglasses and a pink suit and a white hat
50-4.jpg,a group of people marching in a parade with drums
35-5.jpg,a group of people working in a graveyard
25-12.jpg,a bunch of vegetables on a white table
82-6.jpg,a pair of tickets and a pencil on top of mathematical equations
92-8.jpg,a group of people in robes walking down a street
83-14.jpg,a woman standing in front of a blackboard with her hand on a string
60-14.jpg,a view of a tea plantation in the mountains of ethiopia
9-6.jpg,four panda cubs sleeping on a bed in a crib
2-8.jpg,two black birds perched on a wooden fence
18-5.jpg,two pink peonies in the garden with green leaves
67-5.jpg,a white motel with four doors on the sidewalk
23-11.jpg,a potato being cut with a peeler
2-10.jpg,a black and white bird standing on the ground
38-12.jpg,a spoon pouring sauce onto a plate of rice
33-1.jpg,a large yellow sculpture with a pink and white
45-9.jpg,two men in suits holding signs in front of a river
16-7.jpg,a tree with a large trunk and green trees
10-10.jpg,a cow and a calf standing in the grass
33-9.jpg,colorful lanterns hanging from the ceiling in a building
45-1.jpg,three men standing around an elderly man sitting at a table
31-5.jpg,a young woman swimming in a swimming pool
92-10.jpg,a man in a red shirt is preparing food on a table
26-6.jpg,a bunch of carrots on a wooden table
60-2.jpg,two cups of tea and a jar of honey on a table
88-8.jpg,a horse drawn carriage on a stage in front of a projected image of a statue
1-12.jpg,a small bird perched on top of a tree branch
88-11.jpg,a collection of terracotta soldiers in a museum
40-5.jpg,a pair of scissors sitting on top of a white table
92-12.jpg,a man standing in front of a table with food on it
76-2.jpg,a person standing in front of a pagoda
62-1.jpg,a bowl of sliced apples with honey being poured on top
53-11.jpg,a pair of baskets of dumplings on a table with bowls of dipping sauce
5-8.jpg,two hummingbirds flying in a blue sky
50-2.jpg,two women sitting on percussion instruments on a stage
55-11.jpg,a bowl of soup with noodles and vegetables
41-5.jpg,a blue and white bowl sitting on a table
72-1.jpg,the front of a building with red and yellow doors
15-4.jpg,a tall tree in the woods with trees
53-20.jpg,a tray of chicken tater tots on a baking sheet
36-12.jpg,a chandelier shaped like a temple on a table
83-5.jpg,a man standing in front of a blackboard talking to a group of people watching
27-4.jpg,a man standing on a ping pong table with a scoreboard
53-4.jpg,a close up of dumplings on top of a bamboo cutting board
58-2.jpg,a cup of milk next to a glass of milk
11-11.jpg,a group of horses standing in a dirt field
77-9.jpg,a group of people digging in the sand on the beach
75-9.jpg,an old house with a steep roof on a street
84-1.jpg,a pencil with a drawing on a white table
22-11.jpg,a head of bok choy on a white background
3-17.jpg,a group of chickens standing around a bowl of food
18-1.jpg,a group of pink flowers in a garden
10-11.jpg,a bull standing in a field of grass and trees
47-5.jpg,a woman in a white dress playing a violin
28-15.jpg,a group of boys and girls holding their hands up with a basketball
30-1.jpg,a soccer player sliding into a soccer ball during a game
25-9.jpg,a group of vegetables including cauliflower mushrooms and radishes
85-3.jpg,a hand holding a blue pen and writing on a piece of paper
25-5.jpg,a group of cauliflower and broccoli on a table
37-11.jpg,a bowl of noodles with chopsticks on a table
