image_id,caption,label,hypothesis
1814086703,two dogs running together in a field,entailment,كلبان يجريان.
1814086703,two dogs running together in a field,contradiction,الكلبان ينامان على كومة من أوراق الشجر.
1814086703,two dogs running together in a field,neutral,الكلبان يجريان ليلعبا في أوراق الشجر.
1891462514,a woman kneeling in a hole in the sand,contradiction,الخنازير تأكل الكلاب
1891462514,a woman kneeling in a hole in the sand,entailment,سيدة تحفر في الأرض
1891462514,a woman kneeling in a hole in the sand,neutral,سيدة تحفر في الأرض للذهب.
2487069642,a woman wearing a life jacket on an airplane,neutral,مضيفة طيران وافقة أمام مسافرين.
2487069642,a woman wearing a life jacket on an airplane,neutral,مضيفة طيران ترتدي الأصفر تشرح إجراءات السلامة قبل الاقلاع.
2487069642,a woman wearing a life jacket on an airplane,contradiction,امرأة تعد مشروبات في الطيارة.
2507831979,a woman sitting at a table with a cup of coffee,contradiction,المرأة صامتة.
2507831979,a woman sitting at a table with a cup of coffee,neutral,المرأة تدردش مع صديقها.
2507831979,a woman sitting at a table with a cup of coffee,entailment,امرأة تجري دردشة.
2536991887,a line of blue bags on the side of a train station,contradiction,العمال يجلسون ويركبون القطار.
2536991887,a line of blue bags on the side of a train station,neutral,العمال الذين يرتدون البرتقالي، على وشك إصلاح مسارات السكك الحديدية.
2536991887,a line of blue bags on the side of a train station,entailment,العمال يقفون بالخارج.
2713036593,a man is sitting on the ground on the sidewalk,contradiction,رجل مستلق، و نائم.
2713036593,a man is sitting on the ground on the sidewalk,entailment,رجل ينام على الأرض.
2713036593,a man is sitting on the ground on the sidewalk,entailment,شاب نائم في وضعية الجلوس.
294074951,three men are playing guitars in a room,entailment,ثلاثة رجال يعزفون مقطوعات موسيقية مع الأسلاك والمعدات في جميع أنحاء خشبة المسرح، و يمسكون غيتار فريد كألة.
294074951,three men are playing guitars in a room,contradiction,كان الرجال الثلاثة يقولون النكات على خشبة المسرح للترفيه عن الجمهور.
294074951,three men are playing guitars in a room,neutral,كان الرجال الثلاثة في فرقة معا.
3344175369,two people with backpacks hiking in the snow,neutral,اثنين من الناس يذهبان للعمل في عاصفة ثلجية.
3344175369,two people with backpacks hiking in the snow,entailment,الرجل الذي بالقميص الأزرق يحمل حزمة يسلك طريقه من خلال الثلوج.
3344175369,two people with backpacks hiking in the snow,contradiction,رجلان يلعبان مع رجل الثلج.
3360178782,a group of people standing around a market with vegetables,neutral,مجموعة من الرجال و النساء ينظرون الى خس رومين طازج في سوق الشارع المحلي.
3360178782,a group of people standing around a market with vegetables,entailment,الناس ينظرون الى بضاعة في سوق.
3360178782,a group of people standing around a market with vegetables,contradiction,مجموعة من الكلاب تنظر الى خس طازج في سوق الشارع المحلي.
3360178782,a group of people standing around a market with vegetables,contradiction,مجموعة من الناس يرمون الموز في سوق.
3360178782,a group of people standing around a market with vegetables,entailment,المتبضعون يشترون الخضروات في سوق عام مزدحم.
3360178782,a group of people standing around a market with vegetables,neutral,مجموعة من الناس يتم تصويرهم و هم يشترون الخضروات لإعلان السوق.
3494151850,three people on an orange boat in the ocean,neutral,الرجال في طريقهم إلى الإنقاذ.
3494151850,three people on an orange boat in the ocean,contradiction,يقاتل الرجال النار.
3494151850,three people on an orange boat in the ocean,entailment,الرجال بالخارج.
3610460852,a woman standing at the bar of a bar,entailment,المرأة واقفة.
3610460852,a woman standing at the bar of a bar,neutral,شعر المرأة مسحوبا للخلف على شكل كعكة.
3610460852,a woman standing at the bar of a bar,contradiction,تجلس المرأة على منشفة الشاطئ.
