image_name,caption
21-0.jpg,a man is dribbling a basketball on a court
27-14.jpg,a plate of matcha green tea cakes with two cups of coffee
35-2.jpg,a close up of a woman wearing blue jeans in a store
18-1.jpg,a bunch of eggplant hanging from a plant with green leaves
38-10.jpg,a woman sitting on a couch with pink stuffed animals
59-2.jpg,a bunch of grapes hanging on the vine
43-0.jpg,a man playing a piano with his hands
8-7.jpg,two cats laying on the steps
65-1.jpg,a large white apartment building on a city street
58-6.jpg,an apple tree filled with red apples growing through a fence
7-14.jpg,a horse and a baby horse standing next to a fence
40-11.jpg,a man sitting on a bed holding a guitar
68-6.jpg,a small red house on the side of a lake
10-1.jpg,a group of puppies drinking milk from a bucket
53-8.jpg,a bottle of kalamata salad dressing on a table
60-6.jpg,a reconstruction of a kitchen in a house
15-5.jpg,a bowl ofatto with flowers on a table
66-9.jpg,a patio with a table and chairs in a backyard
60-4.jpg,an old kitchen with a door open to a room with a chair
76-4.jpg,an empty classroom filled with desks and chairs
81-10.jpg,a statue of a man and a woman in a park
69-10.jpg,a group of houses on the water with a mountain in the background
5-2.jpg,a man and a woman with an owl in a hospital
37-1.jpg,a man holding a hat on the beach
77-5.jpg,a suitcase with a bunch of pencils and other items on a table
44-0.jpg,three men holding drums in front of a building
17-10.jpg,a group of green beans growing on a plant
57-4.jpg,an orange tree with oranges on it in a field
24-0.jpg,a woman holding a tennis racket on a court
36-9.jpg,a group of people posing for a picture in a lobby
56-8.jpg,two halves of an avocado cut in half on a white background
85-6.jpg,a collection of blue and white vases and bowls on a table
60-11.jpg,a dishwasher full of dishes in a kitchen sink
2-6.jpg,a woman feeding pigeons on a city street
80-5.jpg,a desk with a keyboard and a cup of coffee
85-0.jpg,a close up of a blue and white tile floor
22-8.jpg,the volleyball team poses for a picture with their trophy
82-0.jpg,a painting of people around the world under a rainbow
26-5.jpg,handlers in protective gear walking between cows in a barn
28-6.jpg,a group of young girls holding flags in a parade
48-1.jpg,a display of different types of pizzas in a display case
20-3.jpg,two cucumbers hanging from a vine in a garden
66-10.jpg,a large swimming pool in front of a house
55-2.jpg,a pile of watermelons on display in a market
50-7.jpg,a large white milkshake with a red straw on a table
33-9.jpg,a pan of food with meat and tomatoes and peppers
39-2.jpg,a woman wearing a black t shirt and red sunglasses
36-2.jpg,a woman is standing next to a plant
54-7.jpg,a teapot and a cup of tea on a table
82-3.jpg,a painting of a person holding up a peace sign with two pigeons and a
73-2.jpg,a green combine harvesting wheat in a field
14-5.jpg,a field of colorful tulips in a garden
3-2.jpg,a couple of birds flying over a bird feeder
53-6.jpg,a market filled with drinks and containers of food
82-5.jpg,a close up of a painting of a person wearing glasses
6-12.jpg,a bird eating a piece of broccoli on a table
9-4.jpg,a herd of cows grazing in a field
19-0.jpg,a large field of green plants in the dirt
36-7.jpg,a woman wearing a brown leather jacket and a black skirt is signaling a taxi
72-6.jpg,a group of people are planting trees in a field
69-8.jpg,an old mansion on the water in front of some buildings
19-4.jpg,a bunch of green spinach growing in the soil
16-12.jpg,a bunch of green cucumbers on a plant with yellow flowers
16-6.jpg,a pile of green and white pumpkins on the ground
14-0.jpg,a large field of pink and white tulips
55-7.jpg,a man standing in front of a pile of watermelons
74-5.jpg,a tractor pulling a haymaker in a field
15-2.jpg,a man taking a picture of a field of daisies
3-5.jpg,a small bird sitting in a persons hand
13-3.jpg,a field of pink roses in front of a house
69-11.jpg,a red building on the water next to a river
72-0.jpg,a shovel in a pile of sand
27-7.jpg,three young boys holding bags of toys on a street
63-9.jpg,a bathroom with a bath tub and a window
69-1.jpg,a large house on the water next to a body of water
8-11.jpg,a couple of cats eating food on the ground
25-2.jpg,a shirtless young man standing in a field with other people
8-3.jpg,a black cat standing in front of books
19-11.jpg,a greenhouse filled with green leafy crops
33-1.jpg,a frying pan on a table with eggs and other ingredients
32-6.jpg,a table with many pots and pans on it
9-1.jpg,a brown and white cow with a blue halter eating hay out of a trough
39-3.jpg,a woman wearing a white t shirt and blue jeans
54-10.jpg,a cup of tea and a plate of food on a table
44-1.jpg,a man playing drums in front of a crowd
41-12.jpg,a man playing a piano in front of a woman and
80-1.jpg,a piece of paper with a sunflower and pens on it
76-9.jpg,an empty classroom with wooden desks
47-4.jpg,a green plate topped with food on a table
23-9.jpg,the team line up for a picture before the match
5-1.jpg,an owl is being held by a persons hand
51-0.jpg,a table topped with plates of food and a drink
24-3.jpg,four young children holding tennis rackets on a tennis court
44-12.jpg,a man is playing a red drum
25-0.jpg,a man sitting with a trophy
64-2.jpg,the facade of a building with balconies and a balcony railing
51-1.jpg,a glass of yen raki sitting on a table
40-1.jpg,a man playing a guitar with another man sitting on a couch
11-0.jpg,a herd of sheep walking in a field
14-12.jpg,a field of orange and yellow tulips in a garden
18-7.jpg,a bunch of redemptive aubergines in baskets at a market
52-4.jpg,a green cocktail in a wine glass next to a pitcher of orange juice
88-5.jpg,the throne room in the topkapi palace museum in istanbul
72-3.jpg,a man with a shovel and a pipe in the dirt
65-8.jpg,a view of the city of istanbul with a ferry in the water
12-1.jpg,a camel is being tackled by another camel in the dirt
22-12.jpg,a group of people playing a game of volleyball
21-6.jpg,a group of men playing a game of basketball on a court
44-6.jpg,a woman in a costume holding a drum
60-2.jpg,a kitchen with white cabinets and black appliances and a wooden table
3-13.jpg,a person holding a small bird in their hands
19-3.jpg,a basket of green vegetables in a field
48-7.jpg,three plates of food with different types of food on a table
17-9.jpg,a bunch of green beans growing on a tree
33-13.jpg,a cheese pizza in a pan on a stove
12-5.jpg,a little girl petting a camel
24-12.jpg,a man hitting a tennis ball with a racket
79-2.jpg,a piece of wood with pencils on top of a notebook
17-0.jpg,a pile of green beans in a box
64-7.jpg,a building with a balcony and a street light
10-11.jpg,a man is kneeling down with two dogs
35-11.jpg,split hem denim jeans with a white tank top
30-11.jpg,a fork holding a piece of basil on top of pasta
52-9.jpg,a glass of watermelon juice next to sliced watermelon
42-4.jpg,a man playing a violin and another man sitting in a chair
8-1.jpg,a man sitting on the steps looking at a cat
7-12.jpg,two men are riding in a horse drawn carriage
2-0.jpg,an old man with pigeons on his
68-10.jpg,an old barn in the middle of a field
88-8.jpg,a group of people standing in front of a mosque
48-8.jpg,a table topped with plates of pizza and other dishes of food
22-9.jpg,a group of girls playing volleyball on a court
6-2.jpg,a group of colorful parrots sitting on a shelf
79-9.jpg,two flowers on top of a notebook on a bench
33-6.jpg,an egg in a pan on top of a stove
52-11.jpg,a glass of orange juice on a table with a spoon
63-5.jpg,a bathroom with a shower and a sink and a mirror
64-4.jpg,a balcony on a building overlooking the ocean
1-3.jpg,a man standing in a boat with a bird
28-8.jpg,a group of people walking down a street with flags
43-12.jpg,a woman sitting at a piano          playing
21-11.jpg,a man holding basketballs with children on a basketball court
32-3.jpg,a person cooking food in a pan on a stove
34-10.jpg,a plate with fruit on it on a table
56-10.jpg,an orange hanging from a plant in a net bag
56-4.jpg,a piece of fruit sitting on top of a table
35-4.jpg,three men wearing masks standing in front of a door
38-8.jpg,a man with his knees up on a chair wearing socks
73-11.jpg,an old red combine sitting in a field
68-2.jpg,a small cabin in the middle of a forest
65-9.jpg,a busy city street with a large billboard on the side of a building
1-0.jpg,two birds standing on top of a nest
80-9.jpg,a desk with a notebook with pens and a laptop
66-4.jpg,a cityscape of a city with trees and buildings
46-7.jpg,a sandwich with meat and sauerkraut on a paper
66-2.jpg,a large white house with trees in front of it
58-10.jpg,a bowl of pears and an apple on a plate
2-4.jpg,a flock of pigeons on a city street
15-7.jpg,a field of white daisy flowers in the grass
58-4.jpg,an apple cut in half next to a pear on a plate
50-2.jpg,two cups with rice in them on a table
48-2.jpg,a pizza with toppings on a white plate
20-1.jpg,a pile of green cucumbers on top of each other
73-3.jpg,a green combine in the middle of a wheat field
9-7.jpg,a woman standing next to a cow behind a fence
15-4.jpg,a bowl of daisies in a bowl of water on a table
82-8.jpg,a room full of paintings and a statue in a museum
58-3.jpg,a close up of a pile of red apples
72-9.jpg,three shovels leaning against a brick wall
62-8.jpg,a bathroom with a toilet and a bidet and a shower
37-11.jpg,a group of women and men posing for a group photo in front of a banner
51-2.jpg,a plate of fish and a glass of water on a table
81-11.jpg,a statue of a bird in front of a building in the snow
34-8.jpg,a plate of turkey and cheese napoleon on a table with vegetables
37-8.jpg,a group of men wearing masks in a kitchen
44-3.jpg,a group of people standing on stairs with drums
57-8.jpg,a pot full of orange slices in a pan on a stove
1-8.jpg,a flock of white and black birds in a field
36-8.jpg,a group of women standing together holding awards
41-2.jpg,a man playing a piano with his hands
13-9.jpg,a bunch of red and white roses in a vase
11-9.jpg,a group of sheep standing next to some trees
60-9.jpg,a kitchen with a stove and a laptop on the counter
37-0.jpg,a man standing on a stone wall next to the ocean
29-8.jpg,a christmas tree in the corner of a living room
44-9.jpg,a young woman playing drums in a recording studio
68-1.jpg,a small cabin in the woods with logs
81-3.jpg,a statue of a man with his hands up in a tree
60-8.jpg,a kitchen with a stove top oven and a sink
55-6.jpg,a display of watermelons and other fruits and vegetables
33-0.jpg,three pans on a table with bread and other items
7-2.jpg,a horse with a saddle on its back
85-7.jpg,a table full of colorful bowls and plates on display
5-11.jpg,an owl sitting on top of a towel
