image_name,caption
65-2.jpg,two stone blocks in a stone wall in a tower
68-8.jpg,a man sitting in a gym with a bunch of dumbbells
81-1.jpg,an empty classroom with wooden desks and chairs
20-1.jpg,a woman working in a field of broccoli
11-23.jpg,a group of donkeys standing around a trailer
80-4.jpg,a pile of white nails on a wooden table
4-4.jpg,a pot of food with chicken in it
62-5.jpg,a man standing in a field holding pineapples
39-2.jpg,a man wearing a turquoise shirt and a turquoise hat and smiling
51-4.jpg,a plate of food with rice and beans on a table
58-12.jpg,a person pouring milk from a jug into a glass
37-1.jpg,a group of men standing in front of a building
18-23.jpg,a display of onions and other vegetables at a market
82-9.jpg,the statue of liberty against a blue sky
14-24.jpg,a group of red roses in a garden
15-7.jpg,three yellow sunflowers in a vase on a table
82-6.jpg,a group of people standing next to a statue
75-6.jpg,a tractor in the middle of a field
84-2.jpg,a silhouette of two women praying in front of a mosque
70-9.jpg,a rendering of a white house with an orange roof
74-11.jpg,four different types of clamping tools on a table
17-7.jpg,a plant with green leaves in a field
11-15.jpg,a group of people standing around a cow eating from bowls
66-3.jpg,a white bathroom with a toilet and a sink
66-11.jpg,a bathroom with a tub and a sink and a mirror
66-12.jpg,a bathroom with a toilet and a shower
74-2.jpg,a sickle shaped hammer with a wooden handle on the ground
79-5.jpg,a large pile of books in a room
47-11.jpg,a group of children sitting around a table with a plate of food
16-16.jpg,a red inflorescence of flowers on a plant with green leaves
48-11.jpg,a bowl of sushi rice on a wooden table
6-15.jpg,a herd of cows walking down a dirt road
69-12.jpg,a 3d rendering of a house with a swimming pool
1-19.jpg,a colorful parrot sitting on top of a cage
35-11.jpg,a bunch of forks are sitting on a table
75-3.jpg,a green tractor parked next to a stone building
71-7.jpg,a black tie on a white background
87-9.jpg,a statue of a buddha sitting on the ground at sunset
61-7.jpg,a bunch of oranges on a tree with white flowers
89-5.jpg,a group of people standing in a line in the dirt
38-1.jpg,two striped shirts and two ties on a table
18-8.jpg,a large pile of pink radishes in a market
89-1.jpg,a close up of a christmas tree covered in ornaments
17-13.jpg,a close up of a green plant with yellow flowers
8-2.jpg,a group of elephants standing in a field
12-1.jpg,a group of chimpanzees sitting on top of each other
68-9.jpg,a man sitting on a bench in a gym with a bottle of water
37-4.jpg,a group of people standing in the grass
47-1.jpg,a pile of sliced onions on a cutting board with a bowl of food
49-2.jpg,a container of mini samosas with a yellow condom on top
33-7.jpg,a person holding a cup of coffee next to a kettle
52-10.jpg,a stack of tortillas on a white plate
6-23.jpg,two cows are eating hay from a bale of hay
53-3.jpg,two drinks are sitting on a napkin on a table
