image_id,caption,label,hypothesis
1814086703,two dogs running together in a field,entailment,Две собаки бегут.
1814086703,two dogs running together in a field,contradiction,Эти две собаки спят на куче листьев.
1814086703,two dogs running together in a field,neutral,"Эти две собаки бегут, чтобы поиграть в листьях."
1891462514,a woman kneeling in a hole in the sand,contradiction,эти свиньи едят собак
1891462514,a woman kneeling in a hole in the sand,entailment,Эта женщина роется в земле
1891462514,a woman kneeling in a hole in the sand,neutral,Эта женщина роется в земле ради золота
2487069642,a woman wearing a life jacket on an airplane,neutral,Бортпроводник стоит перед пассажирами.
2487069642,a woman wearing a life jacket on an airplane,neutral,Бортпроводник демонстрирует правила техники безопасности перед взлетом.
2487069642,a woman wearing a life jacket on an airplane,contradiction,Женщина готовит напитки в самолете.
2507831979,a woman sitting at a table with a cup of coffee,contradiction,Эта женщина молчит.
2507831979,a woman sitting at a table with a cup of coffee,neutral,Эта женщина болтает со своим другом.
2507831979,a woman sitting at a table with a cup of coffee,entailment,Женщина болтает.
2536991887,a line of blue bags on the side of a train station,contradiction,Рабочие сидят и едут в поезде.
2536991887,a line of blue bags on the side of a train station,neutral,"Рабочие, одетые в оранжевое, собираются ремонтировать рельсы."
2536991887,a line of blue bags on the side of a train station,entailment,Рабочие стоят снаружи.
2713036593,a man is sitting on the ground on the sidewalk,contradiction,Мужчина лежит и спит.
2713036593,a man is sitting on the ground on the sidewalk,entailment,Мужчина спит на полу.
2713036593,a man is sitting on the ground on the sidewalk,entailment,"Молодой мужчина спит, находясь в сидячем положении."
294074951,three men are playing guitars in a room,entailment,"Три мужчины играют музыкальный сет с проводами и оборудованием по всей сцене, и они держат уникальные похожие на гитары инструменты"
294074951,three men are playing guitars in a room,contradiction,"Эти три мужчины рассказывали шутки на сцене для того, чтобы развлечь толпу."
294074951,three men are playing guitars in a room,neutral,Эти три мужчины были вместе в одной музыкальной группе.
3344175369,two people with backpacks hiking in the snow,neutral,Два человека идут на работу в метель
3344175369,two people with backpacks hiking in the snow,entailment,парень в голубой верхней одежде несет пакет и идет своим путем через снег
3344175369,two people with backpacks hiking in the snow,contradiction,Два мужчины играют со снеговиком.
3360178782,a group of people standing around a market with vegetables,neutral,Группа мужчин и женщин смотрят на свежий салат ромэн на местном уличном рынке.
3360178782,a group of people standing around a market with vegetables,entailment,"Люди, смотрящие на продукты на рынке."
3360178782,a group of people standing around a market with vegetables,contradiction,Группа собак смотрит на свежий салат на местном уличном рынке.
3360178782,a group of people standing around a market with vegetables,contradiction,"Группа людей, бросающих бананы на рынке."
3360178782,a group of people standing around a market with vegetables,entailment,"Покупатели, приобретающие овощи на оживленном городском рынке."
3360178782,a group of people standing around a market with vegetables,neutral,Группу людей снимали во время покупки овощей для рекламы рынка.
3494151850,three people on an orange boat in the ocean,neutral,Эти мужчины находятся на пути к своему спасению.
3494151850,three people on an orange boat in the ocean,contradiction,Эти мужчины борются с огнем.
3494151850,three people on an orange boat in the ocean,entailment,Эти мужчины находятся снаружи.
3610460852,a woman standing at the bar of a bar,entailment,Эта женщина стоит.
3610460852,a woman standing at the bar of a bar,neutral,Эта женщина зачесала волосы в пучок.
3610460852,a woman standing at the bar of a bar,contradiction,Эта женщина сидит на пляжном полотенце.
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,contradiction,"Девочки, разговаривающие рядом с туалетом."
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,entailment,"Люди, разговаривающие у шкафчиков для одежды."
3661659196,a girl holding a frisbee and a woman sitting on a stool in a,neutral,"Девочки, обсуждающие свои проблемы рядом со шкафчиками для одежды."
3897974076,a group of people are climbing up a tall tower,neutral,Женщина и ее дети поднимаются вверх по ступеням.
3897974076,a group of people are climbing up a tall tower,entailment,Женщина и двое детей поднимаются вверх по ступеням.
4115261994,a large crowd of people standing around a fire,entailment,Группа людей гуляет на площади.
4115261994,a large crowd of people standing around a fire,neutral,Группа людей идет через слезоточивый газ.
4115261994,a large crowd of people standing around a fire,contradiction,Группа людей танцует в дневное время.
4485090958,a woman standing in front of a building,neutral,У этой женщины сегодня важная встреча в этом здании.
4485090958,a woman standing in front of a building,contradiction,Собака бежит вверх по ступенькам здания.
4485090958,a woman standing in front of a building,entailment,Снаружи здания есть несколько человек.
4485090958,a woman standing in front of a building,contradiction,Отец смотрит на свою жену и сына.
4485090958,a woman standing in front of a building,entailment,"Человек разговаривает с ребенком, пока другой человек смотрит."
4485090958,a woman standing in front of a building,neutral,"Женщина смотрит на мать, разговаривающую со своим младшим сыном."
4581834644,a man and a girl sitting at a table,contradiction,"Пара ест за столом внутри, и он указывает на что-то."
4581834644,a man and a girl sitting at a table,neutral,Этот мужчина показывает на вора-карманника.
4581834644,a man and a girl sitting at a table,entailment,Люди едят за столом снаружи.
4702657446,a woman is standing in front of a washing machine,entailment,Человек сушит одежду.
4702657446,a woman is standing in front of a washing machine,contradiction,Никто не сушит одежду.
4715587253,a woman singing on a microphone with a child,entailment,Женщина поет.
4715587253,a woman singing on a microphone with a child,contradiction,Женщина декламирует стихи на сцене
4715587253,a woman singing on a microphone with a child,neutral,Светловолосая женщина поет и танцует на сцене.
4846892973,a group of people standing on a pier by the ocean,neutral,Они отправляются на рыбалку.
4846892973,a group of people standing on a pier by the ocean,entailment,Шесть или семь человек стоят на причале.
4846892973,a group of people standing on a pier by the ocean,contradiction,Они находятся в лодке.
4868221344,a man and a woman sitting on the ground,entailment,Эти мужчина и женщина сидят.
4868221344,a man and a woman sitting on the ground,contradiction,Эти мужчина и женщина стоят.
4868221344,a man and a woman sitting on the ground,neutral,Эти мужчина и женщина женаты.
4914029409,a little boy riding a bike down a street,neutral,Мать с сыном едут на велосипеде с другими людьми по улице.
