image_name,caption
25-9.jpg,a group of people standing around a fire
78-2.jpg,the inside of a large building with red pillars and columns
32-4.jpg,a pair of scissors and a knife on a table
66-5.jpg,a building with balconies and trees in front of it
2-7.jpg,an adult goose with two baby geese on the grass
7-10.jpg,a large elephant walking down the street with soldiers
30-9.jpg,a woman cutting vegetables on a cutting board on the floor
20-5.jpg,a woman holding a plate of green peppers
60-5.jpg,a bunch of grapes hanging from a vineyard
65-4.jpg,a large room with a yoga mat in the middle of it
80-5.jpg,a man eating a piece of food while standing next to a group of people
53-2.jpg,a close up of a glass of coffee
18-11.jpg,an eggplant growing on a plant in a field
12-8.jpg,a woman standing in a field of yellow flowers
63-10.jpg,a bed with two pillows in a room with a curtain
7-2.jpg,an elephant with a hair covered head walking on a dirt
55-4.jpg,a cup of soup with a green pepper on top
78-11.jpg,a large building with a blue sky in the background
73-13.jpg,a person drawing a soccer ball with a pencil
16-4.jpg,a bunch of cucumbers growing on a plant
75-10.jpg,a woman pointing at a computer monitor with another woman sitting at a desk
58-5.jpg,three fresh artichokes on a wooden table with green leaves
63-9.jpg,a bedroom with a bed and a chair and a window
48-7.jpg,two bowls of food on a table with two dipping sauces
26-7.jpg,a group of people standing around a rangoli with a turtle in the middle
77-9.jpg,a boat on the water with a house on it
64-1.jpg,a dining room with a black table and chairs and a chandelier
65-8.jpg,the inside of a building with columns and a tile floor
81-2.jpg,a young boy sitting on a bench with his arms crossed
79-12.jpg,a close up of a woman using mascara on her eye
39-2.jpg,a man plowing a field with two cows
50-7.jpg,three pancakes on a plate on a red plate
51-5.jpg,a group of juice bottles sitting on a table next to a bunch of mangoes
59-11.jpg,two slices of watermelon and mint on a wooden table
20-2.jpg,a red fruit on a plant with green leaves
57-1.jpg,a bunch of mangoes hanging from a tree
23-8.jpg,a large crowd of people in a market
76-10.jpg,a group of people sitting on beds in a hospital
60-3.jpg,a person holding a bunch of grapes in their hands
61-12.jpg,a woman standing in a kitchen preparing food
1-13.jpg,a group of peacocks standing on a pier near the water
29-10.jpg,a large group of people praying in the water
56-12.jpg,a red fruit sitting on top of green limes
72-3.jpg,a pen sitting on top of a black
22-11.jpg,a man laying on the ground next to a bull
62-5.jpg,a bathroom with a toilet and a shower
41-9.jpg,two men are painting a mural on a wall
9-4.jpg,a tiger in a fenced in enclosure with people looking at it
29-7.jpg,a large crowd of people standing in a body of water
7-13.jpg,a herd of elephants walking in a field
19-11.jpg,a man holding a bucket of peppers in a field
49-10.jpg,a plate of biscuits with dipping sauce on a table
71-1.jpg,a red bucket filled with water on the floor
63-2.jpg,a bedroom with a bed and a window
79-13.jpg,two blue plates sitting on a table
36-5.jpg,a woman sitting on the ground with a drum
75-2.jpg,a person typing on a laptop computer
21-9.jpg,a group of people playing soccer on a field
6-9.jpg,a goat and a baby goat standing in a field
65-1.jpg,a courtyard with a fountain in the center of a building
71-7.jpg,a group of buckets filled with different colors of paint
72-12.jpg,a fountain pen laying on a piece of paper
2-13.jpg,a white swan is swimming in the water
47-6.jpg,a green bowl of food with rice and vegetables
43-6.jpg,a close up of a red and gold object with a thread
67-12.jpg,a man is pouring water on a statue
39-5.jpg,a man is holding a plane on top of another person
16-8.jpg,a group of brown gourds sitting on a towel
82-13.jpg,a group of people sitting around a desk with computers
48-6.jpg,a plate of food with a bowl of soup
24-11.jpg,a group of people standing around a basketball hoop
22-7.jpg,a man is wrestling a bull in the dirt
27-1.jpg,a rangoli with candles on a table
20-1.jpg,a green seed hanging from a tree branch
47-8.jpg,a plate of fried food in a bowl of soup
73-1.jpg,a person writing on a notebook with a pencil in front of a laptop computer
65-10.jpg,a long corridor with columns in a building
74-5.jpg,two cows are pulling a yellow carriage
63-1.jpg,a bedroom with a bed and a mirror
38-7.jpg,a man holding a shovel in a flooded field
49-3.jpg,a plate of fried meatballs with greens on a white plate
28-5.jpg,two men carrying a statue of a god on a boat
52-5.jpg,a teapot pouring tea into a cup of coffee
78-5.jpg,a large white building with people standing in front of it
73-9.jpg,a pencil and some food on a notebook
21-8.jpg,a group of people playing a game of soccer
48-3.jpg,a woman cooking food on an old stove
80-9.jpg,a woman sitting on the ground with a pot of flowers
36-4.jpg,a man playing a drum in a crowd of people
69-5.jpg,a man praying in front of a statue of a buddha
31-12.jpg,a tray of spoons and a container of silver spoons on a table
23-10.jpg,a group of people in blue shirts are standing on top of each other
24-12.jpg,a group of men playing a game of basketball
9-6.jpg,a group of zebras are standing in the water
73-7.jpg,a pencil sitting on top of a test sheet
45-9.jpg,a man wearing a turban holding a baseball bat
46-4.jpg,a plate of food on a banana leaf with two dipping sauces
33-1.jpg,a bowl with a hole in it on a table
30-2.jpg,a bowl of white rice with a scraper and a bowl of coconut
51-3.jpg,three tin cans sitting on a wooden table
22-6.jpg,a group of men spraying water on a bull
59-8.jpg,a pile of watermelons with a red flower on them
15-2.jpg,a white water lily with yellow pollen in a pond
32-12.jpg,a man and a woman standing in a dirt field
43-1.jpg,an empty basket on a counter top
70-8.jpg,a statue of a person on top of a building
73-2.jpg,a row of colored pencils in front of a man with glasses
34-9.jpg,a person is holding the top of a blender
22-1.jpg,a man is holding a slaughtered animal in the sand
6-12.jpg,a group of people standing around a herd of sheep
4-7.jpg,a couple of black birds standing next to a window
48-1.jpg,a bowl of baked potatoes on a wooden table
72-7.jpg,a person writing with a pen on a piece of paper
59-3.jpg,a close up of a sliced watermelon with black seeds
22-5.jpg,a man riding a bull in the dirt
12-7.jpg,a man standing in a field of sunflowers
52-3.jpg,a person pouring coffee from a pot into a cup
62-12.jpg,a bathroom with a sink and a bath tub
45-10.jpg,two pens laying on top of a table
30-11.jpg,a man is cutting a cucumber on a table
17-9.jpg,a row of trees with ferns hanging from them
53-7.jpg,a cup of coffee with steam coming out of it
6-4.jpg,a herd of goats walking down a dirt road
81-4.jpg,an old man walking down a dirt road with a cane
57-11.jpg,a man standing next to a pile of fruit at a market
73-10.jpg,a hand using a pencil to draw a drawing of a monument
21-3.jpg,a group of young boys playing soccer on the beach
31-2.jpg,a group of silver spoons on a gray table
3-7.jpg,a group of pigeons standing on the ground
83-7.jpg,a woman in a green dress with her hands on her hips
56-7.jpg,two green apples hanging from a tree
76-3.jpg,a large white building with a sign in front of it
20-6.jpg,a bunch of green cucumbers hanging from a tree
55-11.jpg,a bowl of yellow soup with leaves in it
66-12.jpg,a row of tall apartment buildings with the sky in the background
72-11.jpg,a hand holding a pen on a piece of paper
5-11.jpg,a pair of bald eagles standing over a nest in a tree
57-7.jpg,a bunch of yellow mangoes in a bowl
71-10.jpg,a baby drinking water from a bucket in a bath tub
79-5.jpg,a man holding up a peace sign with his hand
78-9.jpg,an old building with a fence in front of it
74-7.jpg,a bull with a rope around its neck and horns
79-21.jpg,a pen and two bottles of ink on a table
2-5.jpg,two swans making a heart shape in the water
61-10.jpg,a stone room with pots and pans on the wall
73-4.jpg,a pair of pencils and a sharpened pencil
54-11.jpg,a pink smoothie in a glass on a table
81-1.jpg,a man in a white outfit standing next to a goat
55-8.jpg,a bowl of rice milk and jalapeno soup on a table
34-7.jpg,a hand holding a spoon stirring food in a pot on a blender
1-2.jpg,a peacock is walking on the ground
40-4.jpg,a tractor is sitting in a field
5-5.jpg,a bird with its wings outstretched on a street
62-2.jpg,a bathroom with a shower and a tile floor
51-13.jpg,a green bowl filled with rice and onions
64-9.jpg,a dining room with a table and chairs
31-8.jpg,two glasses of oatmeal with two spoons on a table
73-11.jpg,a hand holding a pencil with an apple on it
41-12.jpg,a girl painting a mural on a wall
1-5.jpg,a peacock perched on top of a tree
41-5.jpg,a young boy drawing on a wall next to a classroom
9-8.jpg,a group of three tigers playing in the grass
46-1.jpg,a tray of food on a banana leaf with bowls of different sauces
50-4.jpg,a plate of food with dosa and a bowl of curry
10-7.jpg,a group of dogs walking down a street
34-8.jpg,a person is holding a blender on a kitchen counter
27-9.jpg,a hut lit up at night on the beach
31-3.jpg,a silver spoon and a shell shaped spoon
23-4.jpg,a group of people are standing around a festival
57-3.jpg,a pile of apples and pears piled on top of each other
33-4.jpg,a stainless steel bowl sitting on a table
71-8.jpg,a woman is pouring water into a bucket
30-8.jpg,a hacksaw sitting on top of a piece of paper
14-10.jpg,a woman walking through a field of flowers
69-6.jpg,a group of monks sitting down in a monastery praying
26-1.jpg,a table with various food items and a pot
31-5.jpg,three old wooden spoons on a table
14-6.jpg,two people standing in a field of yellow flowers
6-1.jpg,a mother goat and two baby goats in a field
35-11.jpg,a man is standing next to a guitar
20-11.jpg,a bunch of green leaves hanging from a tree
7-7.jpg,a man sitting in a chair next to an elephant
2-8.jpg,a group of swans and ducks swimming in the water
62-10.jpg,a bathroom with a white tub and a blue towel
40-5.jpg,a green tractor is sitting in a field
77-7.jpg,a house on the water with a boat
77-2.jpg,a house boat is floating in the water
1-12.jpg,two peacocks standing next to a brick wall
64-3.jpg,a group of people sitting around a table eating food
6-7.jpg,a man standing next to a herd of goats
9-11.jpg,a white tiger standing in a fenced in area
26-10.jpg,a group of people standing around a pot on a fire
14-9.jpg,a field of yellow flowers in a field
24-6.jpg,a group of men playing a game of basketball
7-6.jpg,a herd of elephants walking across a road
76-7.jpg,a man in a hospital bed being treated by doctors
27-5.jpg,two girls sitting in front of a table with lit candles
8-6.jpg,a couple of lions standing next to each other
4-4.jpg,two black birds eating food on a green plate
22-3.jpg,a man falling off of a bull in the dirt
27-8.jpg,two women lighting candles on a candle holder
69-4.jpg,two young monks sitting on rocks drinking water from a stream
70-4.jpg,a statue of deities on the wall of a temple
83-5.jpg,a woman talking on a cell phone in a field
14-1.jpg,a bunch of orange flowers in a field
48-8.jpg,a plate of food with meatballs and a bowl of soup
43-4.jpg,a man sitting on the floor with a drum
38-3.jpg,a man holding a shovel in a field
77-8.jpg,a house boat on the water with palm trees
44-3.jpg,a black plunger sitting on top of a table
9-1.jpg,a tiger laying on the ground
38-8.jpg,a young boy holding a baseball bat and a hat
21-11.jpg,a group of men playing soccer on a dirt field
63-7.jpg,a bedroom with a bed and a ceiling fan
77-4.jpg,a boat is docked in the water with a roof on it
56-2.jpg,a pile of green apples with a pink flower on top
20-7.jpg,a pot filled with green beans and other vegetables
25-11.jpg,a group of people standing around a fire
10-3.jpg,a group of dogs walking down a road
45-6.jpg,an old man is playing a bugle
38-5.jpg,a man planting a tree in a banana field
54-12.jpg,a supermarket shelf filled with bottles of soft drinks
16-11.jpg,a person cutting a cucumber on top of a tree stump
39-8.jpg,a man plowing a rice field with two cows
70-7.jpg,a stone carving of a group of people in a temple
75-5.jpg,a person is using a calculator
28-3.jpg,a statue of lord ganesha in a crowded festival
31-1.jpg,a row of different colored spoons on a blue background
75-3.jpg,a person using a calculator on a desk
70-5.jpg,a statue of a buddha in a temple
66-11.jpg,an aerial view of a apartment building with cars parked next to it
29-8.jpg,a large group of people in a body of water
23-2.jpg,a man is throwing a ball on a playground
29-4.jpg,a large group of people in the water and a group of people holding an umbrella
18-3.jpg,a flower on a plant in a greenhouse
39-7.jpg,two white cows with horns standing in a dirt field
82-1.jpg,a group of people sitting around a table
22-2.jpg,a group of men are wrestling with a bull
21-12.jpg,a group of girls playing a game of soccer on a field
79-4.jpg,three blackberries on a green leaf next to some yellow and red flowers
80-4.jpg,a man pouring water into a pot in front of a group of people
57-5.jpg,three oranges hanging from a tree branch
44-9.jpg,a black pole with a candle on a table
34-12.jpg,a person is using a blender on a counter
65-6.jpg,the inside of a building with columns and a ceiling
34-10.jpg,a hand is holding the top of a blender
27-3.jpg,a large fire barrel is burning with people around it
68-12.jpg,a man sitting on the floor of a mosque praying
42-9.jpg,two columns with statues of elephants and monkeys in a building
69-1.jpg,a monk sitting on a brick wall with a candle
28-1.jpg,a group of people standing around a statue of a god
75-11.jpg,a person using a calculator and writing on a piece of paper
22-8.jpg,a bull is running through a crowd of people
62-6.jpg,a small bathroom with a toilet and a sink
27-2.jpg,a group of people lighting candles on the ground
33-10.jpg,an old metal pot with two handles and a lid
59-12.jpg,a group of slices of watermelon on a red plate
8-2.jpg,a lion is laying in the grass
8-3.jpg,a couple of lions laying on top of a rock
27-4.jpg,a young boy standing in front of a lighted event
56-3.jpg,a green fruit is growing on a tree
54-9.jpg,a glass of green juice with cucumbers and lemons
31-7.jpg,a group of wooden spoons filled with different kinds of pulses
17-3.jpg,a green plant with yellow flowers and green leaves
7-12.jpg,a group of elephants walking in a field
74-8.jpg,two cows standing next to each other in a field
44-6.jpg,a woman playing a musical instrument on a table
75-7.jpg,a person typing on a laptop computer on a desk
47-12.jpg,a plate of food and three cups of soup
79-19.jpg,a bottle of ink with a pen and a book
62-11.jpg,a bathroom with a toilet and a sink and a shower
79-1.jpg,a bowl of black liquid with water in it
21-4.jpg,a group of young men playing a game of baseball
25-1.jpg,a group of people celebrating with sparklers
60-7.jpg,a bunch of green grapes hanging from a tree
58-12.jpg,a bunch of green fruit hanging from a tree
52-11.jpg,a cup of tea with a lemon and mint
25-10.jpg,two women extinguishing fireworks on the street
11-12.jpg,a pink lotus flower with leaves on a pond
49-12.jpg,three donuts sitting on a green banana leaf
47-4.jpg,a stainless steel pot of soup with carrots and celery in it
61-6.jpg,a kitchen filled with pots and pans on a stove
44-2.jpg,a pair of microscopes are being used to examine a patient
13-12.jpg,a man kneeling down next to a bunch of flowers
8-5.jpg,a lion running through the grass
27-7.jpg,a person is lighting candles on a tray of
11-9.jpg,a pink lotus flower in a field of leaves
81-3.jpg,a man and a woman sitting on a dock next to the water with a fire
6-5.jpg,a man is sitting next to two goats
30-4.jpg,a man sitting on the street holding a fish
17-1.jpg,a cucumber hanging from a tree in the grass
45-3.jpg,a baseball bat sitting on top of a
69-11.jpg,a group of monks walking down a street
48-10.jpg,a basket of muffins on a table
5-2.jpg,a group of birds perched on a tree branch
20-3.jpg,a group of women standing in a tree
74-6.jpg,a man riding two cows in the mud
55-1.jpg,a bowl of soup with a wooden spoon
48-12.jpg,a plate of food with potatoes and a dipping sauce
29-5.jpg,a large crowd of people at a festival
60-1.jpg,a group of slices of watermelon on a red plate
43-9.jpg,a wooden drum with an orange cover on a green background
6-8.jpg,a monkey sitting on the back of a goat
41-1.jpg,a drawing of a bird using a pencil
21-2.jpg,a group of men are standing in the dirt
78-7.jpg,the building in which the temple is located
57-8.jpg,a sliced mango on two plates on a table
78-6.jpg,a large building with people walking in front of it
36-9.jpg,a bag with a wooden instrument and a stick
68-9.jpg,a group of men praying in a mosque
37-8.jpg,a group of people standing outside of a house
49-7.jpg,a red plate with some meatballs and a green garnish
5-10.jpg,a bald eagle standing on top of a post with a fish
15-6.jpg,a group of white flowers in the water
53-1.jpg,a cup of coffee sitting on a table
53-3.jpg,a cup of coffee on a plate with coffee beans
23-11.jpg,a man standing on top of a crowd under a light
55-10.jpg,a glass of milk on a table with ingredients on it
29-9.jpg,a large group of people standing in a river
64-11.jpg,a living room with a table and chairs and a refrigerator
81-7.jpg,a group of people walking in a field holding flags
18-6.jpg,a man is holding a large eggplant
45-2.jpg,a wooden flute sitting on a green towel
33-7.jpg,a wooden bowl is shown on a white background
47-9.jpg,a bowl of curry with pickles and other vegetables
54-1.jpg,two glasses of pink smoothies on a table
12-12.jpg,a field of sunflowers with the sun setting in the background
50-11.jpg,a large sandwich and dipping sauce on a tray
7-1.jpg,a baby elephant walking through a field of grass
8-11.jpg,a lion walking across a body of water
7-4.jpg,a group of people standing next to a row of elephants
39-1.jpg,a piece of wood and a rope on the ground
1-14.jpg,a woman feeding a peacock with vegetables on the ground
77-1.jpg,a boat in the water with people on it
16-10.jpg,a bunch of green bananas on a table
