image_name,caption
1034985636.jpg,a man playing a guitar on a stage
110595925.jpg,a person riding a bike down a road
1333888922.jpg,a girl playing on a swing in the woods
15641879.jpg,a man is selling candy in a store
2045127186.jpg,a girl laying in the snow on a snowboard
2045445292.jpg,a group of men cutting a log in front of a crowd
2146640888.jpg,a man and a woman looking at a piece of cake
2149434880.jpg,a man jumping over a stream of water in a frosty field
2398915100.jpg,the side of a bus with people looking out the window
241347547.jpg,a man is talking to a group of football players
2453990033.jpg,a young girl jumping in the air on a sidewalk
2483666380.jpg,a woman cutting a piece of cloth on a weaving loom
2832076014.jpg,a car is driving through a river
2876232980.jpg,a boy and a girl sitting in a wagon
2913965136.jpg,a group of young boys playing soccer on a field
3008370541.jpg,a black dog jumping into a body of water
302740416.jpg,a man holding up a bundle of vegetables on a street
3030824089.jpg,a dog running through the grass
3143978284.jpg,a baby is being held by a woman
3228341718.jpg,three women running in a race in the dirt
3357520849.jpg,a blue and white wall with the word people on it
3439382048.jpg,a man jumping in the air with a basketball
3503689049.jpg,a man wearing sunglasses and a white shirt laughing
3579457159.jpg,a group of women dancing in the woods
3653497668.jpg,a man in a military uniform cutting a cake with a group of people
3831031977.jpg,two women looking over a stone wall in the mountains
3901773161.jpg,a woman hitting a tennis ball with a racket
3944497603.jpg,a person laying on top of a building
413231421.jpg,a black dog is standing in the snow
424047148.jpg,a woman sitting on top of a suitcase shaving her face with a cell phone
4484802872.jpg,a man standing in front of a line of voting machines
4489833894.jpg,a girl throwing a ball to another girl on a field
4512171349.jpg,two young boys hugging each other in a crowd
4633771017.jpg,a man and a woman are dancing in the grass
4661134609.jpg,a group of men in yellow safety gear sweeping the street with brushes
4692746525.jpg,a man in a suit and tie standing in a crowd of people
4713156011.jpg,a man jumping over a pole in a high jump
4770171876.jpg,a young boy playing on a rope swing at a playground
4815043888.jpg,a group of people standing around a ice cream cart
482098572.jpg,a man in a yellow kayak in a river
518230621.jpg,a man is selling food on a sidewalk
5403972062.jpg,a girl jumping over a yellow box in the grass
571002259.jpg,a man spraying a tree with a hose
5727946383.jpg,a woman in a yellow dress is holding hands with a man
664470170.jpg,two boys playing with a baby in a high chair
6651302933.jpg,a group of people flying kites in the ocean
686569442.jpg,a couple of people standing around a grill
764507.jpg,a group of people sitting on the floor around a plant
76607426.jpg,a man playing snooker on a pool table
1420060118.jpg,a person in a ninja costume jumping in the air
180506881.jpg,two people walking on the sidewalk with a skateboard
1947351225.jpg,a group of kids standing around a group of children holding toys
203146155.jpg,two women laughing at a table in a restaurant
213344147.jpg,people standing on a pier over the water
2230885062.jpg,two women standing in a garden talking to each other
2245918465.jpg,a crowd of people standing around a man with his hand on his head
2311616095.jpg,a man in a kitchen preparing food on the stove
2373018323.jpg,a man doing a trick on a wall with a city in the background
2394003437.jpg,a young boy riding a segway on the street
2424111022.jpg,a young boy sitting on the ground in the forest
2434440948.jpg,a crowd of people standing in a room with a man standing on a podium talking
2578161080.jpg,a group of people standing on a sidewalk at night
2677109430.jpg,a group of people sitting in a church
272471327.jpg,a man in a kitchen preparing food on a grill
273248777.jpg,a football player jumping to catch a ball during a game
2863186021.jpg,a woman walking in a park with birds
2907244809.jpg,a man riding a skateboard down the side of a ramp
3056595980.jpg,three people sitting on a bench looking out to the ocean
3160699.jpg,a man in a red jacket walking out of a door
3199460792.jpg,two dogs playing with a frisbee on the beach
3240570205.jpg,a group of people standing around a table with a camera
3324056835.jpg,a group of dogs running on the beach
3425071001.jpg,a young boy hitting a tennis ball with a racket
3493244032.jpg,a little girl holding a barbie doll in her hand
3720210639.jpg,a man doing a trick on a bike in the air
378336163.jpg,a man jumping in the snow next to a bike
3783803365.jpg,three women talking to each other at a party
3881645432.jpg,a woman standing in a store looking at a shelf of books
4479482872.jpg,a man riding a wave on the beach next to a bird
4591228112.jpg,a man standing next to a sculpture of two snakes
4626556918.jpg,a man holding a skateboard at a skate park
4684641618.jpg,two people walking down a sidewalk on a city street
4685056764.jpg,a group of soldiers standing next to a building with guns
4692725862.jpg,two boys swimming in a pool with oars
47529535.jpg,a young boy holding a baby in a sling
4774744625.jpg,three men sitting outside a building talking on their cell phones
4796753895.jpg,a man walking down a city street with tall buildings
4931700621.jpg,a group of people standing around a store with children
4969473643.jpg,a group of people standing in front of a house
509241560.jpg,a group of young children climbing on the roof of a building
5226870137.jpg,a man riding a horse drawn carriage down a street
5246144625.jpg,three young girls looking at a cell phone
535179217.jpg,people fishing on a dock on a river with boats
5523538212.jpg,a skier is jumping in the air on a ski slope
5922967014.jpg,three boys sitting on the rocks at the beach
611301340.jpg,a crowd of fans cheering at a soccer game
6309331514.jpg,the early november appearing at this event
6716031215.jpg,a woman throwing a bowling ball in a bowling alley
74706256.jpg,a young boy sitting at a table playing with a toothbrush
142802798.jpg,a man riding a skateboard on a ramp
1457898867.jpg,a young boy guiding a herd of cows down a dirt road
1970275389.jpg,a woman sitting on the grass taking a picture of flowers
209605542.jpg,a man is climbing up a rock
2147876139.jpg,three women blowing out candles on a birthday cake
216172386.jpg,a man riding a dirt bike on top of a rock
24053752.jpg,a person riding a tractor in the grass
2503091968.jpg,a woman yelling out of a car window
2508024651.jpg,a woman in a polka dot outfit standing in the street
2512450458.jpg,a man in a kayak in the water
2578003921.jpg,a person riding a bike on a trail in the woods
2581066814.jpg,a group of men and women riding bikes in a parade
2652311904.jpg,a crowd of people walking down a city street at night
2743046728.jpg,two little girls playing in the sand on the beach
2749755023.jpg,a crowd of people walking around a flea market
2866093652.jpg,three women are racing on skateboards on a rink
297285273.jpg,three young boys playing on rocks by the water
3091754891.jpg,a man is sitting on the sidewalk next to a motorcycle with a bunch of items
3110631369.jpg,a group of people standing around a box of food
3167503189.jpg,a man is standing on a wall of a brick house
3327761688.jpg,a car parked under a tunnel
3329207492.jpg,a group of children playing with toys in front of a truck
3338217927.jpg,a dog running in the snow
3414867566.jpg,a group of women are on a court with hula hoops
3433259846.jpg,a little girl dancing with a group of other children
3455431229.jpg,a man painting a picture of a crowd of people
3486831913.jpg,a brown dog laying in the grass near a lake
351765604.jpg,a woman kneeling down on the cracked mud of a desert
3550763985.jpg,a man doing a trick on a skateboard at a skate park
3696184025.jpg,a little girl standing on a blanket with a sucker in her mouth
390220229.jpg,a person standing in the snow with a shovel
3977104006.jpg,a group of musicians playing instruments to a group of people
4266278775.jpg,a young girl wearing a red coat and a white hat
4337871573.jpg,a man sticking his head out the window of a white truck
4643839937.jpg,a man looking into a telescope at night
4704668708.jpg,a young boy opening a gift box with tissue paper
4716175317.jpg,a group of people walking through a market in a city
4733474874.jpg,a man wearing a tommy hilfiger hat sitting on a tour bus
4774884519.jpg,people walking down an escalator in an airport
4923271886.jpg,a person laying on the ground in the grass
4923472130.jpg,a man is kneeling down on the sidewalk
5012159302.jpg,two horses pulling a man on a plow in a field
5221111799.jpg,a man is working on the roof of a house
525338588.jpg,a group of people standing outside of a nightclub at night
6160193920.jpg,a smiling woman wearing a green hijab and a blue shirt
6357647385.jpg,a man running on a race track
6827875949.jpg,a man is kneeling next to a snowman
739944487.jpg,two people in a boat in the water with birds
